"Q3.7","clean"
"US ","United States"
"United States","United States"
"EU, USA ","EU, United States"
"US Government through their Consulate have been the most active in trying to raise the profile of the issue.","United States"
"USA","United States"
"USA and Australian","United States, Australia"
"United States","United States"
"US EMBASSY","United States"
"USA","United States"
"US Embassy","United States"
"a","None"
"US Embassy","United States"
"United States","United States"
"YES","All"
"YES","All"
"see above","All"
"Philippines","Philippines"
"Embassy of the United States","United States"
"Sweden USA ","Sweden, United States"
"Kyrgyzstan","Kyrgyzstan"
"USA","United States"
"USA Embassy in Moldova, Swiss Agency for Development and Cooperation","United States, Switzerland"
"American Consulate","United States"
"both","All"
"US Embassy ","United States"
"Unitd States","United States"
"USA, Sweden","United States, Sweden"
"US Embassy","United States"
"same order as above","All"
"United States and Spain","United States, Spain"
"United States","United States"
"Nigeria","Nigeria"
"Don't know","None"
"USA","United States"
"Unaware","None"
"All of them","All"
"Unted States","United States"
"French","France"
"US Embassy","United States"
"USA","United States"
"Norwegian Embassy","Norway"
"United States and Philippine","United States, Philippines"
"US","United States"
"Finland","Finland"
"US Government by far","United States"
"Embajada de USA","United States"
"US embassy","United States"
